"idno";"intnum";"int_period";"duration"
1;89;2021-08-20 16:16:00 UTC--2021-08-20 17:06:00 UTC;50
3;89;2021-08-15 14:54:00 UTC--2021-08-15 16:04:00 UTC;70
4;89;2021-08-17 17:21:00 UTC--2021-08-17 18:03:00 UTC;42
5;89;2021-08-15 17:14:00 UTC--2021-08-15 18:33:00 UTC;79
6;89;2021-08-17 19:18:00 UTC--2021-08-17 20:23:00 UTC;65
7;94;2021-08-19 07:18:00 UTC--2021-08-19 08:04:00 UTC;46
8;94;2021-08-16 14:52:00 UTC--2021-08-16 15:36:00 UTC;44
14;79;2021-07-12 09:00:00 UTC--2021-07-12 09:44:00 UTC;44
15;79;2021-07-11 16:02:00 UTC--2021-07-11 17:03:00 UTC;61
16;79;2021-07-13 15:06:00 UTC--2021-07-13 15:57:00 UTC;51
18;79;2021-07-08 21:15:00 UTC--2021-07-08 22:02:00 UTC;47
19;90;2021-08-13 13:00:00 UTC--2021-08-13 13:51:00 UTC;51
20;90;2021-08-07 15:02:00 UTC--2021-08-07 15:59:00 UTC;57
22;90;2021-08-18 17:25:00 UTC--2021-08-18 17:59:00 UTC;34
23;90;2021-08-10 12:48:00 UTC--2021-08-10 13:41:00 UTC;53
25;108;2021-07-18 16:14:00 UTC--2021-07-18 17:07:00 UTC;53
26;108;2021-07-17 18:09:00 UTC--2021-07-17 19:04:00 UTC;55
28;108;2021-07-25 16:41:00 UTC--2021-07-25 17:34:00 UTC;53
29;108;2021-07-19 10:26:00 UTC--2021-07-19 10:59:00 UTC;33
30;108;2021-07-14 16:29:00 UTC--2021-07-14 17:15:00 UTC;46
31;68;2021-07-25 17:15:00 UTC--2021-07-25 18:09:00 UTC;54
35;68;2021-07-25 19:12:00 UTC--2021-07-25 20:03:00 UTC;51
36;68;2021-07-27 13:11:00 UTC--2021-07-27 14:01:00 UTC;50
37;141;2021-08-09 14:45:00 UTC--2021-08-09 15:41:00 UTC;56
39;141;2021-08-11 18:39:00 UTC--2021-08-11 19:27:00 UTC;48
40;141;2021-08-11 20:26:00 UTC--2021-08-11 21:23:00 UTC;57
41;141;2021-08-07 15:22:00 UTC--2021-08-07 16:13:00 UTC;51
42;141;2021-08-08 13:25:00 UTC--2021-08-08 14:27:00 UTC;62
44;95;2021-08-08 17:13:00 UTC--2021-08-08 18:19:00 UTC;66
45;95;2021-08-13 10:44:00 UTC--2021-08-13 11:48:00 UTC;64
47;95;2021-08-06 19:25:00 UTC--2021-08-06 20:10:00 UTC;45
50;3;2021-07-20 14:44:00 UTC--2021-07-20 15:41:00 UTC;57
51;3;2021-07-13 15:31:00 UTC--2021-07-13 16:28:00 UTC;57
