"intnum";"idno";"cntry";"interval";"overlap"
1;775;"CZ";2021-07-21 19:24:00 UTC--2021-07-21 20:13:00 UTC;FALSE
1;2160;"CZ";2021-07-23 13:03:00 UTC--2021-07-23 14:09:00 UTC;FALSE
1;2155;"CZ";2021-07-25 11:50:00 UTC--2021-07-25 12:35:00 UTC;FALSE
1;2156;"CZ";2021-07-25 13:39:00 UTC--2021-07-25 14:33:00 UTC;FALSE
1;2157;"CZ";2021-07-25 15:58:00 UTC--2021-07-25 17:02:00 UTC;FALSE
1;2158;"CZ";2021-07-25 18:45:00 UTC--2021-07-25 19:52:00 UTC;FALSE
1;780;"CZ";2021-07-25 20:46:00 UTC--2021-07-25 21:30:00 UTC;FALSE
1;2159;"CZ";2021-07-26 16:53:00 UTC--2021-07-26 17:50:00 UTC;FALSE
1;779;"CZ";2021-07-26 19:59:00 UTC--2021-07-26 21:00:00 UTC;FALSE
1;2115;"CZ";2021-08-06 11:06:00 UTC--2021-08-06 12:24:00 UTC;FALSE
1;1140;"CZ";2021-08-07 11:11:00 UTC--2021-08-07 11:56:00 UTC;FALSE
1;2116;"CZ";2021-08-08 09:55:00 UTC--2021-08-08 10:53:00 UTC;FALSE
1;2113;"CZ";2021-08-09 10:15:00 UTC--2021-08-09 11:21:00 UTC;FALSE
1;2114;"CZ";2021-08-09 12:51:00 UTC--2021-08-09 13:47:00 UTC;FALSE
1;2117;"CZ";2021-08-09 15:31:00 UTC--2021-08-09 16:38:00 UTC;FALSE
1;1138;"CZ";2021-08-09 18:51:00 UTC--2021-08-09 19:59:00 UTC;FALSE
1;1139;"CZ";2021-08-10 10:51:00 UTC--2021-08-10 11:40:00 UTC;FALSE
1;1135;"CZ";2021-08-12 17:48:00 UTC--2021-08-12 18:50:00 UTC;FALSE
1;1137;"CZ";2021-08-14 18:04:00 UTC--2021-08-14 18:46:00 UTC;FALSE
1;2118;"CZ";2021-08-15 11:55:00 UTC--2021-08-15 12:30:00 UTC;FALSE
2;302;"CZ";2021-08-12 17:06:00 UTC--2021-08-12 17:57:00 UTC;FALSE
2;301;"CZ";2021-08-13 13:52:00 UTC--2021-08-13 14:30:00 UTC;FALSE
2;1846;"CZ";2021-08-21 17:42:00 UTC--2021-08-21 18:33:00 UTC;FALSE
2;1843;"CZ";2021-08-24 11:03:00 UTC--2021-08-24 12:07:00 UTC;FALSE
2;1848;"CZ";2021-08-25 17:48:00 UTC--2021-08-25 18:40:00 UTC;FALSE
2;1845;"CZ";2021-08-26 15:27:00 UTC--2021-08-26 16:09:00 UTC;FALSE
2;2151;"CZ";2021-09-04 13:21:00 UTC--2021-09-04 14:51:00 UTC;FALSE
2;479;"CZ";2021-09-04 15:29:00 UTC--2021-09-04 16:12:00 UTC;FALSE
2;2152;"CZ";2021-09-05 15:38:00 UTC--2021-09-05 16:17:00 UTC;FALSE
2;2154;"CZ";2021-09-05 18:45:00 UTC--2021-09-05 19:57:00 UTC;FALSE
2;476;"CZ";2021-09-05 21:31:00 UTC--2021-09-05 22:27:00 UTC;FALSE
2;475;"CZ";2021-09-06 14:45:00 UTC--2021-09-06 15:36:00 UTC;FALSE
2;2149;"CZ";2021-09-08 11:38:00 UTC--2021-09-08 12:27:00 UTC;FALSE
2;2153;"CZ";2021-09-08 13:33:00 UTC--2021-09-08 14:15:00 UTC;FALSE
2;477;"CZ";2021-09-08 15:55:00 UTC--2021-09-08 16:48:00 UTC;FALSE
2;478;"CZ";2021-09-08 18:50:00 UTC--2021-09-08 19:50:00 UTC;FALSE
2;480;"CZ";2021-09-09 19:32:00 UTC--2021-09-09 20:22:00 UTC;FALSE
2;2150;"CZ";2021-09-12 18:29:00 UTC--2021-09-12 19:25:00 UTC;FALSE
3;51;"CZ";2021-07-13 15:31:00 UTC--2021-07-13 16:28:00 UTC;FALSE
3;920;"CZ";2021-07-13 17:49:00 UTC--2021-07-13 18:46:00 UTC;FALSE
3;921;"CZ";2021-07-15 15:46:00 UTC--2021-07-15 16:36:00 UTC;FALSE
3;53;"CZ";2021-07-16 15:58:00 UTC--2021-07-16 17:15:00 UTC;FALSE
3;50;"CZ";2021-07-20 14:44:00 UTC--2021-07-20 15:41:00 UTC;FALSE
3;924;"CZ";2021-07-21 20:14:00 UTC--2021-07-21 21:13:00 UTC;FALSE
3;919;"CZ";2021-07-24 15:26:00 UTC--2021-07-24 16:41:00 UTC;FALSE
3;923;"CZ";2021-07-25 16:36:00 UTC--2021-07-25 17:26:00 UTC;FALSE
3;853;"CZ";2021-07-30 21:00:00 UTC--2021-07-30 21:56:00 UTC;FALSE
3;854;"CZ";2021-07-31 12:01:00 UTC--2021-07-31 12:50:00 UTC;FALSE
3;856;"CZ";2021-08-01 18:50:00 UTC--2021-08-01 19:34:00 UTC;FALSE
3;857;"CZ";2021-08-01 20:31:00 UTC--2021-08-01 21:22:00 UTC;FALSE
3;858;"CZ";2021-08-03 19:37:00 UTC--2021-08-03 20:31:00 UTC;FALSE
3;855;"CZ";2021-08-09 20:50:00 UTC--2021-08-09 21:41:00 UTC;FALSE
4;1039;"CZ";2021-08-14 10:03:00 UTC--2021-08-14 11:09:00 UTC;FALSE
4;1043;"CZ";2021-08-15 18:50:00 UTC--2021-08-15 19:34:00 UTC;FALSE
4;1041;"CZ";2021-08-18 14:38:00 UTC--2021-08-18 15:37:00 UTC;FALSE
4;1040;"CZ";2021-08-23 14:22:00 UTC--2021-08-23 15:25:00 UTC;FALSE
4;1044;"CZ";2021-08-24 10:06:00 UTC--2021-08-24 11:39:00 UTC;FALSE
5;3174;"CZ";2021-07-13 19:42:00 UTC--2021-07-13 20:59:00 UTC;FALSE
5;3169;"CZ";2021-07-14 16:04:00 UTC--2021-07-14 17:34:00 UTC;FALSE
5;3172;"CZ";2021-07-18 16:17:00 UTC--2021-07-18 17:24:00 UTC;FALSE
5;3171;"CZ";2021-07-19 18:37:00 UTC--2021-07-19 19:58:00 UTC;FALSE
5;3173;"CZ";2021-07-20 19:04:00 UTC--2021-07-20 20:29:00 UTC;FALSE
5;2830;"CZ";2021-08-10 17:45:00 UTC--2021-08-10 19:22:00 UTC;FALSE
5;2828;"CZ";2021-08-11 14:16:00 UTC--2021-08-11 15:12:00 UTC;FALSE
5;2832;"CZ";2021-08-11 16:17:00 UTC--2021-08-11 17:19:00 UTC;FALSE
5;2827;"CZ";2021-08-12 15:39:00 UTC--2021-08-12 17:20:00 UTC;FALSE
5;2831;"CZ";2021-08-14 14:07:00 UTC--2021-08-14 15:06:00 UTC;FALSE
5;2829;"CZ";2021-08-18 10:59:00 UTC--2021-08-18 12:10:00 UTC;FALSE
6;1485;"CZ";2021-07-09 17:50:00 UTC--2021-07-09 18:56:00 UTC;FALSE
6;1486;"CZ";2021-07-09 19:25:00 UTC--2021-07-09 20:23:00 UTC;FALSE
6;1488;"CZ";2021-07-11 17:23:00 UTC--2021-07-11 18:17:00 UTC;FALSE
6;1484;"CZ";2021-07-12 17:53:00 UTC--2021-07-12 18:27:00 UTC;FALSE
6;1483;"CZ";2021-07-13 18:58:00 UTC--2021-07-13 19:51:00 UTC;FALSE
6;1409;"CZ";2021-07-28 16:28:00 UTC--2021-07-28 17:46:00 UTC;FALSE
6;581;"CZ";2021-07-29 19:40:00 UTC--2021-07-29 20:34:00 UTC;FALSE
6;580;"CZ";2021-07-31 19:22:00 UTC--2021-07-31 20:30:00 UTC;FALSE
6;1405;"CZ";2021-07-31 20:56:00 UTC--2021-07-31 21:46:00 UTC;FALSE
6;578;"CZ";2021-08-01 12:29:00 UTC--2021-08-01 13:35:00 UTC;FALSE
6;577;"CZ";2021-08-02 12:46:00 UTC--2021-08-02 14:02:00 UTC;FALSE
6;1406;"CZ";2021-08-02 15:44:00 UTC--2021-08-02 16:20:00 UTC;FALSE
6;1407;"CZ";2021-08-02 18:29:00 UTC--2021-08-02 19:34:00 UTC;FALSE
6;1408;"CZ";2021-08-02 20:07:00 UTC--2021-08-02 21:31:00 UTC;FALSE
6;579;"CZ";2021-08-07 15:18:00 UTC--2021-08-07 16:11:00 UTC;FALSE
7;1117;"CZ";2021-07-08 15:28:00 UTC--2021-07-08 16:26:00 UTC;FALSE
7;1118;"CZ";2021-07-08 17:14:00 UTC--2021-07-08 17:57:00 UTC;FALSE
7;1121;"CZ";2021-07-08 20:26:00 UTC--2021-07-08 21:19:00 UTC;FALSE
7;1120;"CZ";2021-07-12 17:55:00 UTC--2021-07-12 18:59:00 UTC;FALSE
7;3128;"CZ";2021-07-13 15:56:00 UTC--2021-07-13 16:59:00 UTC;FALSE
7;3129;"CZ";2021-07-13 18:02:00 UTC--2021-07-13 18:42:00 UTC;FALSE
7;3127;"CZ";2021-07-16 18:58:00 UTC--2021-07-16 19:45:00 UTC;FALSE
7;3131;"CZ";2021-07-18 17:10:00 UTC--2021-07-18 17:56:00 UTC;FALSE
