"idno";"intnum";"speed"
10004;"647";140
10009;"111";630
10019;"1109";630
10038;"294";315
10052;"647";630
10053;"139";140
10055;"693";1260
10062;"237";1260
10064;"348";420
10065;"442";630
10068;"358";630
10071;"264";1260
10078;"1098";1260
10079;"725";1260
10081;"131";1260
10083;"1014";180
10088;"507";315
10089;"1018";1260
10093;"833";1260
10104;"819";630
10107;"1149";420
10112;"698";315
10114;"698";252
10116;"774";252
10133;"111";1260
10136;"825";630
10141;"839";1260
10145;"587";1260
10146;"294";1260
10149;"476";630
10156;"1066";180
10176;"358";420
10180;"1011";252
10182;"139";1260
10206;"481";1260
10213;"112";1260
10215;"358";420
10220;"539";1260
10262;"112";1260
10274;"1109";420
10280;"190";420
10283;"358";420
10288;"1048";1260
10295;"713";1260
10298;"422";630
10302;"1092";1260
10314;"475";1260
10322;"442";420
10334;"248";630
10340;"256";1260
10368;"836";1260
10369;"933";1260
10379;"574";630
10380;"1074";180
10394;"639";315
10397;"1108";1260
10401;"931";1260
10402;"807";315
10404;"841";1260
10421;"856";420
10422;"471";315
10427;"1014";1260
10434;"367";630
10442;"681";630
10457;"1008";630
10460;"138";1260
10465;"622";1260
10484;"323";630
10486;"449";252
10489;"1097";420
10490;"386";630
10494;"704";1260
10501;"685";252
10502;"272";630
10504;"986";630
10508;"870";630
10526;"956";630
10528;"227";157.5
10529;"1103";1260
10542;"287";630
10546;"924";1260
10561;"517";210
10567;"969";1260
10572;"242";157.5
10573;"264";1260
10575;"621";315
10579;"340";420
10581;"367";630
10598;"581";1260
10599;"1011";420
10601;"913";1260
10611;"583";630
10615;"386";1260
10616;"248";180
10621;"407";1260
10626;"276";1260
10629;"833";1260
10640;"139";420
10644;"1070";315
10648;"1149";420
10651;"124";420
10664;"324";1260
10680;"790";420
10684;"358";420
10685;"272";315
10687;"845";1260
10691;"314";630
10699;"1014";630
10703;"170";180
10706;"960";1260
10715;"920";630
10716;"407";180
10722;"926";1260
10745;"213";420
10748;"190";630
10757;"324";1260
10759;"407";1260
10783;"501";420
10793;"1145";420
10795;"635";630
10799;"422";315
10802;"367";1260
10813;"807";630
10816;"856";1260
10819;"139";180
10831;"501";630
10838;"539";210
10848;"1145";630
10853;"956";1260
10858;"1093";210
10865;"1103";1260
10870;"542";180
10875;"1150";1260
10884;"253";630
10892;"170";252
10912;"839";1260
10917;"790";252
10940;"264";180
10946;"175";1260
10958;"281";420
10962;"551";1260
10969;"1097";420
10976;"774";1260
10985;"681";1260
10988;"610";420
10996;"175";1260
11013;"890";1260
11021;"237";630
11023;"1017";630
11026;"1154";630
11038;"131";630
11040;"768";630
11042;"910";1260
11043;"287";1260
11045;"248";315
11049;"358";420
11057;"345";630
11065;"139";1260
11075;"1125";420
11083;"1011";630
11086;"424";252
11089;"1070";315
11105;"141";630
11108;"881";630
11112;"956";420
11128;"903";420
11131;"725";210
11143;"112";1260
11147;"756";1260
11154;"616";1260
11156;"1109";420
11160;"611";210
11162;"329";420
11164;"249";420
11169;"819";630
11195;"1048";630
11218;"294";1260
11222;"969";180
11225;"790";420
11227;"554";315
11232;"669";630
11239;"1011";1260
11240;"964";1260
11259;"881";140
11260;"287";630
11261;"796";315
11273;"287";1260
11284;"139";630
11293;"713";1260
11300;"1008";315
11323;"881";180
11328;"1063";315
11336;"668";315
11344;"825";180
11350;"253";1260
11375;"863";180
11387;"681";1260
11402;"839";1260
11421;"249";210
11427;"1109";1260
11429;"287";630
11431;"264";630
11440;"138";1260
11446;"635";420
11447;"920";630
11451;"540";210
11454;"1125";180
11458;"1125";420
11466;"987";420
11469;"845";420
11470;"431";420
11475;"890";315
11493;"613";630
11499;"348";315
11523;"358";420
11526;"408";1260
11530;"139";1260
11541;"348";315
11542;"111";630
11543;"845";1260
11565;"111";420
11570;"263";1260
11582;"718";1260
11587;"1149";1260
11588;"610";420
11597;"408";1260
11598;"611";1260
11600;"1155";1260
11602;"348";1260
11611;"1146";630
11612;"1108";630
11614;"1070";420
11629;"154";420
11630;"1011";1260
11633;"1108";1260
11635;"587";252
11636;"1109";630
11637;"647";420
11657;"944";1260
11672;"119";1260
11691;"698";315
11694;"237";1260
11699;"496";1260
11720;"190";420
11739;"449";1260
11748;"138";630
11751;"138";1260
11754;"1048";1260
11761;"539";1260
11783;"988";1260
11786;"926";420
11787;"693";140
11795;"542";1260
11805;"170";420
11808;"181";630
11817;"956";180
11818;"263";1260
11825;"574";630
11835;"693";420
11848;"551";1260
11850;"501";420
11852;"774";420
11854;"496";630
11867;"584";630
11870;"278";1260
11873;"1097";1260
11884;"256";420
11885;"1145";420
11888;"1070";420
11899;"978";420
11900;"890";420
11906;"944";1260
11911;"964";420
11925;"841";1260
11927;"500";1260
11928;"616";315
11934;"1108";315
11936;"181";420
11944;"595";1260
11956;"1113";1260
11958;"890";315
11970;"1047";630
11982;"574";630
11993;"393";630
12008;"170";630
12010;"138";1260
12013;"111";1260
12019;"769";1260
12026;"492";1260
12030;"881";157.5
12036;"348";420
12039;"926";1260
12069;"933";1260
12078;"621";252
12087;"345";630
12088;"237";630
12091;"583";1260
12092;"693";630
12096;"1112";252
12123;"1074";1260
12136;"581";420
12137;"422";630
12155;"731";420
12157;"393";420
12163;"833";630
12173;"932";630
12174;"479";252
12176;"713";1260
12185;"881";252
12194;"178";630
12200;"969";1260
12201;"839";315
12214;"798";630
12216;"442";630
12221;"1146";1260
12231;"802";180
12232;"881";420
12246;"540";1260
12250;"698";1260
12259;"610";315
12262;"389";1260
12280;"1146";1260
12284;"217";630
12285;"444";315
12286;"471";420
12291;"825";315
12301;"1109";630
12306;"1145";1260
12333;"756";630
12334;"422";1260
12337;"138";1260
12341;"141";1260
12355;"517";210
12364;"769";1260
12368;"408";1260
12371;"1018";157.5
12375;"422";1260
12380;"522";157.5
12382;"621";1260
12385;"422";252
12386;"217";1260
12395;"1132";1260
12412;"248";252
12423;"652";420
12430;"449";180
12438;"1066";252
12439;"1105";1260
12441;"652";420
12453;"154";420
12462;"1149";420
12464;"960";630
12473;"540";420
12476;"933";1260
12485;"253";1260
12508;"272";1260
12518;"170";180
12519;"173";630
12520;"924";315
12528;"287";1260
12534;"173";315
12542;"756";1260
12546;"492";1260
12556;"1018";630
12565;"960";315
12570;"237";630
12573;"424";420
12580;"1103";630
12585;"154";630
12588;"1068";420
12589;"1150";1260
12591;"960";420
12592;"264";1260
12602;"324";315
12623;"685";1260
12624;"1105";180
12627;"769";420
12633;"348";420
12634;"1068";630
12657;"345";1260
12669;"1103";1260
12673;"358";630
12676;"589";1260
12678;"681";315
12689;"790";1260
12693;"621";315
12715;"375";1260
12717;"268";1260
12734;"507";1260
12743;"507";315
12749;"913";630
12782;"281";630
12792;"881";420
12803;"237";210
12819;"353";180
12824;"367";630
12835;"1021";1260
12845;"652";1260
12850;"540";1260
12863;"492";1260
12868;"154";210
12874;"1125";157.5
12883;"839";315
12887;"294";1260
12890;"175";252
12891;"903";252
12893;"731";420
12900;"693";630
12901;"281";1260
12910;"314";630
12918;"936";1260
12924;"487";252
12925;"248";1260
12930;"376";630
12934;"389";210
12939;"1108";630
12946;"608";315
12948;"190";630
12953;"1108";1260
12961;"881";630
12965;"353";315
12987;"424";1260
12995;"186";1260
13005;"652";180
13012;"958";1260
13017;"216";1260
13030;"932";1260
13032;"1066";315
13035;"1150";630
13037;"988";315
13039;"1093";315
13066;"718";420
13068;"237";1260
13082;"595";1260
13108;"839";1260
13123;"920";1260
13125;"932";420
13127;"936";1260
13141;"924";157.5
13142;"982";1260
13156;"340";1260
13167;"554";1260
13168;"1112";630
13169;"583";180
13170;"574";1260
13185;"190";180
13186;"819";1260
13187;"890";1260
13192;"769";630
13193;"769";630
13197;"798";140
13215;"287";1260
13216;"392";630
13217;"668";315
13226;"367";252
13232;"1113";630
13237;"181";1260
13261;"522";210
13268;"881";420
13269;"863";252
13278;"500";315
13282;"119";1260
13288;"768";252
13298;"374";420
13300;"492";1260
13303;"217";630
13318;"264";1260
