"idno";"intnum";"start";"unlikelystart";"end";"unlikelyend"
1;89;2021-08-20 16:16:00;"";2021-08-20 17:06:00;""
3;89;2021-08-15 14:54:00;"";2021-08-15 16:04:00;""
4;89;2021-08-17 17:21:00;"";2021-08-17 18:03:00;""
5;89;2021-08-15 17:14:00;"";2021-08-15 18:33:00;""
6;89;2021-08-17 19:18:00;"";2021-08-17 20:23:00;""
7;94;2021-08-19 07:18:00;"";2021-08-19 08:04:00;""
8;94;2021-08-16 14:52:00;"";2021-08-16 15:36:00;""
14;79;2021-07-12 09:00:00;"";2021-07-12 09:44:00;""
15;79;2021-07-11 16:02:00;"";2021-07-11 17:03:00;""
16;79;2021-07-13 15:06:00;"";2021-07-13 15:57:00;""
18;79;2021-07-08 21:15:00;"";2021-07-08 22:02:00;""
19;90;2021-08-13 13:00:00;"";2021-08-13 13:51:00;""
20;90;2021-08-07 15:02:00;"";2021-08-07 15:59:00;""
22;90;2021-08-18 17:25:00;"";2021-08-18 17:59:00;""
23;90;2021-08-10 12:48:00;"";2021-08-10 13:41:00;""
25;108;2021-07-18 16:14:00;"";2021-07-18 17:07:00;""
26;108;2021-07-17 18:09:00;"";2021-07-17 19:04:00;""
28;108;2021-07-25 16:41:00;"";2021-07-25 17:34:00;""
29;108;2021-07-19 10:26:00;"";2021-07-19 10:59:00;""
30;108;2021-07-14 16:29:00;"";2021-07-14 17:15:00;""
31;68;2021-07-25 17:15:00;"";2021-07-25 18:09:00;""
35;68;2021-07-25 19:12:00;"";2021-07-25 20:03:00;""
36;68;2021-07-27 13:11:00;"";2021-07-27 14:01:00;""
37;141;2021-08-09 14:45:00;"";2021-08-09 15:41:00;""
39;141;2021-08-11 18:39:00;"";2021-08-11 19:27:00;""
40;141;2021-08-11 20:26:00;"";2021-08-11 21:23:00;""
41;141;2021-08-07 15:22:00;"";2021-08-07 16:13:00;""
42;141;2021-08-08 13:25:00;"";2021-08-08 14:27:00;""
44;95;2021-08-08 17:13:00;"";2021-08-08 18:19:00;""
45;95;2021-08-13 10:44:00;"";2021-08-13 11:48:00;""
47;95;2021-08-06 19:25:00;"";2021-08-06 20:10:00;""
50;3;2021-07-20 14:44:00;"";2021-07-20 15:41:00;""
51;3;2021-07-13 15:31:00;"";2021-07-13 16:28:00;""
53;3;2021-07-16 15:58:00;"";2021-07-16 17:15:00;""
55;139;2021-09-14 18:02:00;"";2021-09-14 18:56:00;""
57;139;2021-09-09 16:04:00;"";2021-09-09 17:08:00;""
58;139;2021-09-06 16:40:00;"";2021-09-06 17:49:00;""
59;139;2021-09-07 18:36:00;"";2021-09-07 19:26:00;""
60;139;2021-09-06 19:20:00;"";2021-09-06 20:17:00;""
61;154;2021-07-13 16:39:00;"";2021-07-13 18:02:00;""
62;154;2021-07-07 17:19:00;"";2021-07-07 18:08:00;""
63;154;2021-07-13 18:29:00;"";2021-07-13 19:30:00;""
65;154;2021-07-12 15:56:00;"";2021-07-12 16:52:00;""
68;98;2021-09-03 16:13:00;"";2021-09-03 17:07:00;""
69;98;2021-09-14 18:26:00;"";2021-09-14 19:15:00;""
70;98;2021-09-04 20:52:00;"";2021-09-04 21:38:00;""
72;98;2021-09-11 15:12:00;"";2021-09-11 15:58:00;""
73;82;2021-09-04 17:13:00;"";2021-09-04 17:59:00;""
74;82;2021-09-08 09:52:00;"";2021-09-08 10:54:00;""
75;82;2021-09-04 19:29:00;"";2021-09-04 20:04:00;""
76;82;2021-09-05 10:53:00;"";2021-09-05 11:43:00;""
78;82;2021-09-08 11:52:00;"";2021-09-08 12:39:00;""
79;46;2021-08-04 16:22:00;"";2021-08-04 17:40:00;""
81;46;2021-08-10 15:50:00;"";2021-08-10 16:54:00;""
83;46;2021-08-06 18:17:00;"";2021-08-06 18:56:00;""
85;178;2021-07-29 17:03:00;"";2021-07-29 17:44:00;""
86;178;2021-07-31 10:30:00;"";2021-07-31 11:17:00;""
87;178;2021-08-07 12:48:00;"";2021-08-07 13:36:00;""
88;178;2021-08-02 09:40:00;"";2021-08-02 10:21:00;""
90;178;2021-08-01 18:52:00;"";2021-08-01 19:40:00;""
91;126;2021-08-10 15:27:00;"";2021-08-10 16:15:00;""
93;126;2021-08-07 12:10:00;"";2021-08-07 12:58:00;""
94;126;2021-08-11 13:56:00;"";2021-08-11 14:48:00;""
96;126;2021-08-10 17:31:00;"";2021-08-10 18:19:00;""
97;185;2021-07-29 14:18:00;"";2021-07-29 15:00:00;""
99;185;2021-08-10 10:46:00;"";2021-08-10 11:36:00;""
100;185;2021-08-03 18:28:00;"";2021-08-03 19:24:00;""
101;185;2021-08-11 17:10:00;"";2021-08-11 17:54:00;""
102;185;2021-07-29 15:59:00;"";2021-07-29 16:49:00;""
103;159;2021-07-22 13:45:00;"";2021-07-22 14:36:00;""
104;159;2021-07-21 14:50:00;"";2021-07-21 15:54:00;""
