"intnum";"date";"number_int"
1;2021-07-21;1
1;2021-07-23;1
1;2021-07-25;5
1;2021-07-26;2
1;2021-08-06;1
1;2021-08-07;1
1;2021-08-08;1
1;2021-08-09;4
1;2021-08-10;1
1;2021-08-12;1
1;2021-08-14;1
1;2021-08-15;1
2;2021-08-12;1
2;2021-08-13;1
2;2021-08-21;1
2;2021-08-24;1
2;2021-08-25;1
2;2021-08-26;1
2;2021-09-04;2
2;2021-09-05;3
2;2021-09-06;1
2;2021-09-08;4
2;2021-09-09;1
2;2021-09-12;1
3;2021-07-13;2
3;2021-07-15;1
3;2021-07-16;1
3;2021-07-20;1
3;2021-07-21;1
3;2021-07-24;1
3;2021-07-25;1
3;2021-07-30;1
3;2021-07-31;1
3;2021-08-01;2
3;2021-08-03;1
3;2021-08-09;1
4;2021-08-14;1
4;2021-08-15;1
4;2021-08-18;1
4;2021-08-23;1
4;2021-08-24;1
5;2021-07-13;1
5;2021-07-14;1
5;2021-07-18;1
5;2021-07-19;1
5;2021-07-20;1
5;2021-08-10;1
5;2021-08-11;2
5;2021-08-12;1
5;2021-08-14;1
5;2021-08-18;1
6;2021-07-09;2
6;2021-07-11;1
6;2021-07-12;1
6;2021-07-13;1
6;2021-07-28;1
6;2021-07-29;1
6;2021-07-31;2
6;2021-08-01;1
6;2021-08-02;4
6;2021-08-07;1
7;2021-07-08;3
7;2021-07-12;1
7;2021-07-13;2
7;2021-07-16;1
7;2021-07-18;1
7;2021-07-19;1
7;2021-08-06;1
7;2021-08-08;1
7;2021-08-14;1
8;2021-07-07;1
8;2021-07-11;1
8;2021-07-14;1
8;2021-07-16;1
8;2021-07-17;2
8;2021-07-20;2
8;2021-07-28;1
8;2021-08-01;1
8;2021-08-02;1
8;2021-08-03;1
8;2021-08-04;2
8;2021-08-06;1
9;2021-07-13;1
9;2021-07-14;1
9;2021-07-16;1
9;2021-07-18;2
9;2021-07-19;1
9;2021-07-20;2
9;2021-07-25;1
9;2021-08-04;1
9;2021-08-05;1
9;2021-08-08;1
10;2021-07-17;2
10;2021-07-20;2
10;2021-08-05;1
10;2021-08-08;2
10;2021-08-09;3
10;2021-08-11;1
10;2021-08-13;1
11;2021-08-14;2
11;2021-08-17;1
11;2021-08-18;2
11;2021-08-19;4
11;2021-08-28;1
12;2021-07-10;1
12;2021-07-12;2
12;2021-07-14;1
12;2021-07-23;1
12;2021-07-25;2
12;2021-07-31;1
13;2021-07-08;1
13;2021-07-10;1
13;2021-07-11;1
13;2021-07-14;1
13;2021-07-23;1
13;2021-07-25;2
13;2021-07-27;1
13;2021-07-29;1
14;2021-07-07;1
14;2021-07-08;2
14;2021-07-10;2
14;2021-07-11;1
14;2021-07-12;1
14;2021-07-13;1
14;2021-07-17;1
14;2021-07-18;1
14;2021-08-06;2
14;2021-08-07;1
14;2021-08-08;1
14;2021-08-09;3
14;2021-08-10;1
15;2021-07-21;2
15;2021-07-24;1
15;2021-07-25;1
15;2021-07-26;1
15;2021-07-27;1
15;2021-07-29;1
