"intnum";"meanmis";"num.int"
100;0;4
111;0.0102040816326531;14
112;0.0158730158730159;9
119;0;9
124;0.0769230769230769;13
129;0;6
131;0;15
138;0;11
139;0;16
141;0.00634920634920635;15
154;0.0170068027210884;14
170;0;19
173;0.0306122448979592;14
175;0.0173160173160173;11
178;0.136904761904762;8
181;0.0216450216450217;11
186;0;9
189;0;4
190;0.00264550264550265;18
213;0;9
215;0;9
216;0;7
217;0;8
222;0.0476190476190476;9
227;0;6
237;0.193650793650794;15
242;0.114285714285714;10
248;0.0825396825396826;15
249;0;10
253;0;13
256;0.1005291005291;9
263;0;9
264;0.0793650793650794;18
268;0;7
271;0.244897959183674;7
272;0.0204081632653061;14
276;0.00340136054421769;14
278;0.0423280423280423;9
281;0.0952380952380953;12
287;0.00571428571428571;25
294;0.00340136054421769;14
314;0;9
316;0;5
323;0.0238095238095238;8
324;0;9
328;0;5
329;0.333333333333333;10
340;0;9
344;0;6
345;0.00529100529100529;9
348;0.00198412698412699;24
353;0.037037037037037;9
358;0.0521541950113378;21
367;0;8
374;0;8
375;0.0317460317460318;12
376;0.00432900432900433;11
378;0.0476190476190476;8
386;0;8
389;0.104761904761905;10
392;0;4
393;0;4
407;0;9
408;0.0504201680672268;17
422;0.0196078431372549;17
424;0.0178571428571429;8
431;0;4
442;0.0050125313283208;19
444;0;3
446;0.00432900432900433;11
449;0;12
453;0.0416666666666667;8
468;0;9
470;0;4
471;0;10
475;0.0264550264550264;9
476;0;10
479;0;10
481;0.0264550264550264;9
487;0;10
489;0;4
492;0.0952380952380952;15
496;0;9
500;0;9
501;0;18
507;0.00732600732600732;13
516;0;9
517;0.0136054421768708;7
519;0.0285714285714286;5
522;0.0346320346320346;11
534;0.123809523809524;5
539;0;11
540;0.0357142857142857;20
542;0;11
549;0;8
551;0.157509157509158;13
554;0;10
570;0.0216450216450216;11
574;0.0833333333333333;12
581;0.0380952380952381;5
583;0.0732600732600733;13
584;0;3
587;0.00595238095238095;8
589;0;10
595;0.0423280423280423;9
608;0;14
610;0;19
611;0.0216450216450216;11
613;0;4
616;0.0178571428571429;16
621;0;19
622;0.0119047619047619;16
635;0;12
639;0;8
647;0;7
652;0;20
662;0;4
668;0.0119047619047619;8
669;0.00865800865800866;11
671;0.0769230769230769;13
681;0.0105820105820106;18
685;0;9
693;0.0294784580498866;21
696;0;9
698;0.112244897959184;14
704;0.107142857142857;8
713;0.00280112044817927;17
718;0.00865800865800866;11
719;0.012987012987013;11
725;0.00280112044817927;17
731;0;15
756;0.0196078431372549;17
768;0;9
769;0.0150375939849624;19
774;0.0052910052910053;18
783;0;10
790;0;8
796;0.0052910052910053;18
798;0.0198412698412698;12
802;0;8
807;0;20
818;0.119047619047619;12
819;0.00476190476190476;20
821;0.0183150183150183;13
822;0.00680272108843538;7
825;0.0625;16
833;0.119047619047619;12
836;0.0892857142857143;8
839;0;16
841;0.125;8
845;0.0401002506265664;19
856;0;15
863;0.111111111111111;9
867;0;10
870;0;9
879;0;14
881;0.0423280423280423;18
890;0.0168067226890756;17
903;0.019047619047619;10
910;0;10
913;0;7
920;0.00366300366300366;13
924;0.0119047619047619;8
926;0.0204081632653061;7
931;0.0317460317460317;9
932;0.012987012987013;11
933;0;13
936;0.00680272108843538;7
942;0;4
944;0;10
956;0.0952380952380951;9
958;0.137566137566137;9
960;0.103174603174603;18
964;0.0606060606060606;22
969;0.201058201058201;9
978;0;8
982;0;11
986;0.00476190476190476;10
987;0;5
988;0.0105820105820106;9
992;0;8
996;0;2
1004;0.0173160173160173;11
1008;0.0214285714285714;20
1011;0.0140056022408964;17
1014;0;5
1017;0;8
1018;0;11
1021;0.0386904761904762;16
1028;0.301587301587301;9
1047;0.00432900432900433;22
1048;0.0526315789473684;19
1063;0;9
1066;0.0761904761904762;10
1068;0.0158730158730159;9
1069;0.00952380952380952;5
1070;0.142857142857143;11
1074;0.0102040816326531;14
1092;0.00366300366300366;13
1093;0;18
1095;0.0183150183150183;13
1097;0;9
1098;0;9
1103;0.206349206349206;24
1105;0.06265664160401;19
1108;0;17
1109;0.105442176870748;14
1112;0;4
1113;0.00529100529100529;9
1125;0;19
1132;0;7
1133;0;5
1145;0.00476190476190476;20
1146;0.00952380952380952;10
1149;0.0285714285714286;15
1150;0.104761904761905;10
1153;0;9
1154;0;9
1155;0;10
