"idno";"intnum";"start";"end";"timebtwints"
775;1;2021-07-21 19:24:00;2021-07-21 20:13:00;NA
2160;1;2021-07-23 13:03:00;2021-07-23 14:09:00;2450
2155;1;2021-07-25 11:50:00;2021-07-25 12:35:00;2741
2156;1;2021-07-25 13:39:00;2021-07-25 14:33:00;64
2157;1;2021-07-25 15:58:00;2021-07-25 17:02:00;85
2158;1;2021-07-25 18:45:00;2021-07-25 19:52:00;103
780;1;2021-07-25 20:46:00;2021-07-25 21:30:00;54
2159;1;2021-07-26 16:53:00;2021-07-26 17:50:00;1163
779;1;2021-07-26 19:59:00;2021-07-26 21:00:00;129
2115;1;2021-08-06 11:06:00;2021-08-06 12:24:00;15246
1140;1;2021-08-07 11:11:00;2021-08-07 11:56:00;1367
2116;1;2021-08-08 09:55:00;2021-08-08 10:53:00;1319
2113;1;2021-08-09 10:15:00;2021-08-09 11:21:00;1402
2114;1;2021-08-09 12:51:00;2021-08-09 13:47:00;90
2117;1;2021-08-09 15:31:00;2021-08-09 16:38:00;104
1138;1;2021-08-09 18:51:00;2021-08-09 19:59:00;133
1139;1;2021-08-10 10:51:00;2021-08-10 11:40:00;892
1135;1;2021-08-12 17:48:00;2021-08-12 18:50:00;3248
1137;1;2021-08-14 18:04:00;2021-08-14 18:46:00;2834
2118;1;2021-08-15 11:55:00;2021-08-15 12:30:00;1029
302;2;2021-08-12 17:06:00;2021-08-12 17:57:00;NA
301;2;2021-08-13 13:52:00;2021-08-13 14:30:00;1195
1846;2;2021-08-21 17:42:00;2021-08-21 18:33:00;11712
1843;2;2021-08-24 11:03:00;2021-08-24 12:07:00;3870
1848;2;2021-08-25 17:48:00;2021-08-25 18:40:00;1781
1845;2;2021-08-26 15:27:00;2021-08-26 16:09:00;1247
2151;2;2021-09-04 13:21:00;2021-09-04 14:51:00;12792
479;2;2021-09-04 15:29:00;2021-09-04 16:12:00;38
2152;2;2021-09-05 15:38:00;2021-09-05 16:17:00;1406
2154;2;2021-09-05 18:45:00;2021-09-05 19:57:00;148
476;2;2021-09-05 21:31:00;2021-09-05 22:27:00;94
475;2;2021-09-06 14:45:00;2021-09-06 15:36:00;978
2149;2;2021-09-08 11:38:00;2021-09-08 12:27:00;2642
2153;2;2021-09-08 13:33:00;2021-09-08 14:15:00;66
477;2;2021-09-08 15:55:00;2021-09-08 16:48:00;100
478;2;2021-09-08 18:50:00;2021-09-08 19:50:00;122
480;2;2021-09-09 19:32:00;2021-09-09 20:22:00;1422
2150;2;2021-09-12 18:29:00;2021-09-12 19:25:00;4207
51;3;2021-07-13 15:31:00;2021-07-13 16:28:00;NA
920;3;2021-07-13 17:49:00;2021-07-13 18:46:00;81
921;3;2021-07-15 15:46:00;2021-07-15 16:36:00;2700
53;3;2021-07-16 15:58:00;2021-07-16 17:15:00;1402
50;3;2021-07-20 14:44:00;2021-07-20 15:41:00;5609
924;3;2021-07-21 20:14:00;2021-07-21 21:13:00;1713
919;3;2021-07-24 15:26:00;2021-07-24 16:41:00;3973
