"","name","essround","edition","proddate","cntry","idno","intagea","intgndr","resclq","resrelq","resbab","resundq","preintf","prewhp","presd","preppil","preorel","prenrel","predk","prenap","prena","resswcd","vdovexin","vdtpsvin","vdtpitin","vdtpscin","vdtpauin","vdtpviin","vdtpoiin","vdtpntin","vdtpapre","vdtprein","vdtpdkin","vdtpnain","intlnga","intnum"
"1","ESS10INTe02",10,2,"08.12.2022","BG",10002,49,2,1,1,5,5,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"BUL",601
"2","ESS10INTe02",10,2,"08.12.2022","BG",10006,41,2,1,1,5,5,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"BUL",105
"3","ESS10INTe02",10,2,"08.12.2022","BG",10009,68,2,4,3,4,5,2,0,0,0,0,0,0,1,0,2,8,0,0,0,0,0,0,0,1,0,0,0,"BUL",310
"4","ESS10INTe02",10,2,"08.12.2022","BG",10024,64,2,2,3,4,5,2,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,1,0,0,0,"BUL",250
"5","ESS10INTe02",10,2,"08.12.2022","BG",10027,65,2,1,1,5,5,2,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,1,0,0,0,"BUL",419
"6","ESS10INTe02",10,2,"08.12.2022","BG",10048,60,2,1,1,5,5,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"BUL",251
"7","ESS10INTe02",10,2,"08.12.2022","BG",10053,51,2,1,1,5,5,2,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,1,0,0,0,"BUL",229
"8","ESS10INTe02",10,2,"08.12.2022","BG",10055,70,2,1,2,4,2,2,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,1,0,0,0,"BUL",321
"9","ESS10INTe02",10,2,"08.12.2022","BG",10059,66,2,4,2,4,4,2,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,1,0,0,0,"BUL",899
"10","ESS10INTe02",10,2,"08.12.2022","BG",10061,60,2,5,4,3,5,1,0,0,0,1,0,0,0,0,2,5,0,0,0,0,0,0,0,1,0,0,0,"BUL",824
