"","name","essround","edition","proddate","cntry","idno","intagea","intgndr","resclq","resrelq","resbab","resundq","preintf","prewhp","presd","preppil","preorel","prenrel","predk","prenap","prena","resswcd","vdovexin","vdtpsvin","vdtpitin","vdtpscin","vdtpauin","vdtpviin","vdtpoiin","vdtpntin","vdtpapre","vdtprein","vdtpdkin","vdtpnain","intlnga","intnum"
"2719","ESS10INTe02",10,2,"08.12.2022","CH",10004,40,1,1,1,5,5,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"GER",2230
"2720","ESS10INTe02",10,2,"08.12.2022","CH",10014,78,2,1,1,5,5,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"GER",2757
"2721","ESS10INTe02",10,2,"08.12.2022","CH",10019,64,1,3,3,5,5,2,0,0,0,0,0,0,1,0,2,10,0,0,0,0,0,0,0,1,0,0,0,"FRE",3267
"2722","ESS10INTe02",10,2,"08.12.2022","CH",10024,64,2,1,1,5,5,1,0,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"GER",2980
"2723","ESS10INTe02",10,2,"08.12.2022","CH",10038,44,1,2,1,5,4,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"GER",2254
"2724","ESS10INTe02",10,2,"08.12.2022","CH",10053,75,2,2,5,8,5,1,0,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"FRE",3799
"2725","ESS10INTe02",10,2,"08.12.2022","CH",10055,75,2,1,1,5,5,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"FRE",3799
"2726","ESS10INTe02",10,2,"08.12.2022","CH",10059,75,2,3,3,4,4,2,0,0,0,0,0,0,1,0,2,8,0,0,0,0,0,0,0,1,0,0,0,"FRE",3799
"2727","ESS10INTe02",10,2,"08.12.2022","CH",10062,78,2,1,1,5,5,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"GER",2757
"2728","ESS10INTe02",10,2,"08.12.2022","CH",10071,59,1,1,1,1,5,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"GER",2313
"2729","ESS10INTe02",10,2,"08.12.2022","CH",10077,68,1,1,1,5,5,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"GER",2813
"2730","ESS10INTe02",10,2,"08.12.2022","CH",10078,34,2,1,1,5,5,1,1,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,"GER",3732
"2731","ESS10INTe02",10,2,"08.12.2022","CH",10088,75,1,1,2,5,5,2,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,1,0,0,0,"GER",2203
"2732","ESS10INTe02",10,2,"08.12.2022","CH",10089,59,1,1,1,1,5,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"GER",2313
"2733","ESS10INTe02",10,2,"08.12.2022","CH",10093,27,1,1,2,5,5,2,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,1,0,0,0,"GER",3665
"2734","ESS10INTe02",10,2,"08.12.2022","CH",10104,52,2,3,2,5,5,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"GER",3904
"2735","ESS10INTe02",10,2,"08.12.2022","CH",10107,64,1,1,1,5,5,2,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,1,0,0,0,"GER",567
"2736","ESS10INTe02",10,2,"08.12.2022","CH",10112,56,2,1,1,5,5,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"FRE",2644
"2737","ESS10INTe02",10,2,"08.12.2022","CH",10114,75,1,1,2,5,5,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"GER",2203
"2738","ESS10INTe02",10,2,"08.12.2022","CH",10130,40,1,3,1,5,4,2,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,1,0,0,0,"GER",2230
"2739","ESS10INTe02",10,2,"08.12.2022","CH",10136,65,1,1,3,5,5,2,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,1,0,0,0,"GER",3771
"2740","ESS10INTe02",10,2,"08.12.2022","CH",10146,79,1,1,1,5,5,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"GER",3623
"2741","ESS10INTe02",10,2,"08.12.2022","CH",10149,78,2,1,1,5,5,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"GER",2757
"2742","ESS10INTe02",10,2,"08.12.2022","CH",10156,60,2,2,4,4,4,2,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,1,0,0,0,"GER",2257
"2743","ESS10INTe02",10,2,"08.12.2022","CH",10169,68,1,2,3,4,4,2,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,1,0,0,0,"GER",2813
"2744","ESS10INTe02",10,2,"08.12.2022","CH",10182,78,2,1,1,5,5,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"GER",2757
"2745","ESS10INTe02",10,2,"08.12.2022","CH",10183,58,1,3,1,5,5,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"FRE",2218
"2746","ESS10INTe02",10,2,"08.12.2022","CH",10213,37,2,1,1,1,5,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"GER",3336
"2747","ESS10INTe02",10,2,"08.12.2022","CH",10215,78,2,1,1,5,5,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"GER",3696
"2748","ESS10INTe02",10,2,"08.12.2022","CH",10220,75,1,3,1,5,5,1,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"GER",2203
"2749","ESS10INTe02",10,2,"08.12.2022","CH",10249,56,2,2,1,5,5,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"FRE",2644
"2750","ESS10INTe02",10,2,"08.12.2022","CH",10265,61,1,1,1,1,5,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"GER",441
"2751","ESS10INTe02",10,2,"08.12.2022","CH",10274,69,1,2,2,5,5,2,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,1,0,0,0,"GER",2652
"2752","ESS10INTe02",10,2,"08.12.2022","CH",10295,23,1,3,1,5,5,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,1,0,0,0,0,"GER",2534
"2753","ESS10INTe02",10,2,"08.12.2022","CH",10313,65,1,5,4,4,3,2,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,1,0,0,0,"GER",3771
"2754","ESS10INTe02",10,2,"08.12.2022","CH",10314,75,1,1,1,5,5,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"GER",2203
"2755","ESS10INTe02",10,2,"08.12.2022","CH",10318,75,1,2,1,5,5,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"GER",2203
"2756","ESS10INTe02",10,2,"08.12.2022","CH",10364,21,1,2,1,4,4,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"FRE",3355
"2757","ESS10INTe02",10,2,"08.12.2022","CH",10401,40,1,2,2,5,4,2,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,1,0,0,0,"GER",2230
"2758","ESS10INTe02",10,2,"08.12.2022","CH",10427,56,2,4,2,5,4,2,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,1,0,0,0,"FRE",2644
"2759","ESS10INTe02",10,2,"08.12.2022","CH",10434,65,1,2,2,5,4,2,0,0,0,0,0,0,1,0,2,8,0,0,0,0,0,0,0,1,0,0,0,"GER",3771
"2760","ESS10INTe02",10,2,"08.12.2022","CH",10439,75,2,1,1,5,5,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"FRE",3799
"2761","ESS10INTe02",10,2,"08.12.2022","CH",10442,65,1,1,1,5,5,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"GER",3771
