"","name","essround","edition","proddate","cntry","idno","intagea","intgndr","resclq","resrelq","resbab","resundq","preintf","prewhp","presd","preppil","preorel","prenrel","predk","prenap","prena","resswcd","vdovexin","vdtpsvin","vdtpitin","vdtpscin","vdtpauin","vdtpviin","vdtpoiin","vdtpntin","vdtpapre","vdtprein","vdtpdkin","vdtpnain","intlnga","intnum"
"18957","ESS10INTe02",10,2,"08.12.2022","IT",10019,49,2,3,3,3,4,2,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,1,0,0,0,"ITA",3012
"18958","ESS10INTe02",10,2,"08.12.2022","IT",10027,61,2,3,2,5,5,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"ITA",3050
"18959","ESS10INTe02",10,2,"08.12.2022","IT",10038,54,2,3,1,4,4,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"ITA",2212
"18960","ESS10INTe02",10,2,"08.12.2022","IT",10045,44,2,2,3,5,5,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"ITA",2982
"18961","ESS10INTe02",10,2,"08.12.2022","IT",10053,61,1,2,1,5,5,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,0,0,0,1,"ITA",2310
"18962","ESS10INTe02",10,2,"08.12.2022","IT",10057,80,1,9,9,9,9,9,0,0,0,0,0,0,0,1,9,99,0,0,0,0,0,0,0,0,0,0,0,"999",2853
"18963","ESS10INTe02",10,2,"08.12.2022","IT",10061,50,2,2,1,5,5,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"ITA",2909
"18964","ESS10INTe02",10,2,"08.12.2022","IT",10064,63,2,2,1,5,5,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,1,"ITA",2674
"18965","ESS10INTe02",10,2,"08.12.2022","IT",10065,73,1,2,2,2,4,2,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,1,0,0,0,"ITA",2489
"18966","ESS10INTe02",10,2,"08.12.2022","IT",10073,54,2,3,3,2,3,2,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,1,0,0,0,"ITA",3488
"18967","ESS10INTe02",10,2,"08.12.2022","IT",10077,54,2,2,2,4,4,2,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,1,0,0,0,"ITA",3219
"18968","ESS10INTe02",10,2,"08.12.2022","IT",10079,62,1,1,1,3,5,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"ITA",3454
"18969","ESS10INTe02",10,2,"08.12.2022","IT",10081,48,2,3,1,1,5,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,0,0,0,1,"ITA",2880
"18970","ESS10INTe02",10,2,"08.12.2022","IT",10088,48,2,1,1,4,5,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,1,"ITA",2880
"18971","ESS10INTe02",10,2,"08.12.2022","IT",10090,48,2,3,1,5,4,1,1,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,1,0,0,0,"ITA",2510
"18972","ESS10INTe02",10,2,"08.12.2022","IT",10093,37,2,9,9,9,9,9,0,0,0,0,0,0,0,1,9,99,0,0,0,0,0,0,0,0,0,0,0,"999",3814
"18973","ESS10INTe02",10,2,"08.12.2022","IT",10094,52,1,3,3,3,3,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"ITA",2872
"18974","ESS10INTe02",10,2,"08.12.2022","IT",10095,59,1,2,2,4,4,2,0,0,0,0,0,0,1,0,2,8,0,0,0,0,0,0,0,1,0,0,0,"ITA",3085
"18975","ESS10INTe02",10,2,"08.12.2022","IT",10107,19,1,2,3,4,4,2,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,1,0,0,0,"ITA",3064
"18976","ESS10INTe02",10,2,"08.12.2022","IT",10114,57,2,2,2,4,4,2,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,1,0,0,0,"ITA",2322
"18977","ESS10INTe02",10,2,"08.12.2022","IT",10130,50,1,3,3,4,3,2,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,1,0,0,0,"ITA",2619
"18978","ESS10INTe02",10,2,"08.12.2022","IT",10136,54,2,3,3,3,4,2,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,1,0,0,0,"ITA",3488
"18979","ESS10INTe02",10,2,"08.12.2022","IT",10145,58,2,1,1,1,5,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"ITA",2972
"18980","ESS10INTe02",10,2,"08.12.2022","IT",10149,63,2,2,1,5,5,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"ITA",2674
"18981","ESS10INTe02",10,2,"08.12.2022","IT",10156,55,2,4,3,4,3,2,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,1,0,0,0,"ITA",3152
