"nxtbrth1","nxtbrth2","rminor","cpermpg","stfloca","chngloca","blngloca","chatnb","ccnthum","ccrdprs","wrclmch","nwspol","netusoft","netustm","ppltrst","pplfair","pplhlp","polintr","psppsgva","actrolga","psppipla","cptppola","trstprl","trstlgl","trstplc","trstplt","trstprt","trstep","trstun","vote","contplt","donprty","badge","sgnptit","pbldmna","bctprd","pstplonl","volunfp","clsprty","prtdgcla","lrscale","stflife","stfeco","stfgov","stfdem","stfedu","stfhlth","gincdif","freehms","hmsfmlsh","hmsacld","euftf","lrnobed","loylead","imsmetn","imdfetn","impcntr","imacflp","imbgeco","imueclt","imwbcnt","happy","sclmeet","inprdsc","sclact","crmvct","aesfdrk","health","hlthhmp","atchctr","atcherp","rlgblg","rlgblge","rlgdgr","rlgatnd","pray","dscrgrp","dscrrce","dscrntn","dscrrlg","dscrlng","dscretn","dscrage","dscrgnd","dscrsex","dscrdsb","dscroth","dscrdk","dscrref","dscrnap","dscrna","ctzcntr","brncntr","livecnta","feethngr","facntr","mocntr","vteurmmb","vteubcmb","hhmmb","hhmmb15","gndr","mbrn","yrbrn","gndr2","gndr3","gndr4","gndr5","gndr6","gndr7","gndr8","gndr9","mbrn2","mbrn3","mbrn4","mbrn5","mbrn6","mbrn7","mbrn8","mbrn9","yrbrn2","yrbrn3","yrbrn4","yrbrn5","yrbrn6","yrbrn7","yrbrn8","yrbrn9","rshipa2","rshipa3","rshipa4","rshipa5","rshipa6","rshipa7","rshipa8","rshipa9","rshpsts","lvgptnea","dvrcdeva","marsts","chldhhe","domicil","eduyrs","pdwrk","edctn","uempla","uempli","dsbld","rtrd","cmsrv","hswrk","dngoth","dngref","dngdk","dngna","mainact","crpdwk","pdjobev","pdjobyr","emplrel","emplno","wrkctrb","estsz","jbspv","njbspv","wkdcorga","iorgact","wkhct","wkhtot","tporgwk","wrkac6m","uemp3m","uemp12m","uemp5yr","mbtru","hincsrca","hincfilt","hinctnta","hincfel","pdwrkp","edctnp","uemplap","uemplip","dsbldp","rtrdp","cmsrvp","hswrkp","dngothp","dngdkp","dngnapp","dngrefp","dngnap","mnactp","crpdwkp","emprelp","wkhtotp","emprf14","occf14b","emprm14","occm14b","atncrse","optftr","fltdpr","slprl","wrhpp","fltlnl","enjlf","fltsd","cldgng","enrglot","fltanx","fltpcfl","lchshcp","dngval","hrmcnt","pplahlp","trtrsp","tnapsur","sedirlf","rehlppl","prhlppl","dgwtva","achgoal","flsfsec","clcnppl","clcnpla","dprfgd","acqcomp","kndhtm","hrmlife","dstpwir","hlpprct","ogendas","wbwlkpl","runtint","qfimedu","qfimlng","qfimchr","qfimwht","imtcjob","imbleco","imwbcrm","imdetbs","imdetmr","shrrfg","rfgawrk","gvrfgap","rfgdtcn","noimbro","gvtrimg","rlgueim","dfegcf","dfegcon","dfeghbg","etglint","etghwrk","cultbtr","prtnclt","aljewlv","almuslv","admim","alcewr","alceup","almmewr","almmeup","ipdopin","ipstst","ipplea","ipnpea","ipbesuc","ipetrju","ippoco","iphumb","ipprenv","ipnhum","ipnexp","iphppcl","ipwlth","ipprsaf","iptlppl","ipnvreg","ipmadec","ipftrad","ippconf","ipacrec","scresuq","scresrla","scastqc","scawhp","scasd","scappil","scaorel","scanrel","scafw","scanap","scana","sckaun","sckaacc","sckard","sckarhm","sckadec","sckareq","sckaoth","sckanap","sckana","recon","scmpqst","decnum","mode","idno","cntry","inwds","ainws","einwe"
1,1,6,2,5,3,3,2,55,9,2,6991,3,6080,88,88,1,7,1,2,7,5,7,0,7,99,5,9,3,2,8,8,9,8,7,9,2,2,8,6,1,1,77,5,88,3,99,4,5,7,8,6,1,1,7,2,7,7,3,7,0,1,5,1,3,8,3,8,2,4,99,8,6,4,6,6,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,7,1,9999,2,7,7,55,2,14,90,2,147,3652,7,9,7,7,8,1,6,8,99,77,88,88,99,77,66,88,6666,6666,8888,6666,9999,7777,9999,8888,88,1,6,6,2,3,88,6,3,9,8,1,6,8,64,0,1,1,0,0,0,0,1,0,0,0,0,4,1,2,8888,6,88888,7,3,6,66666,2,0,666,888,3,1,8,8,7,8,4,1,10,7,1,0,0,0,0,1,1,0,1,0,1,0,1,88,6,2,777,8,9,4,3,8,9,3,2,4,7,1,1,9,1,9,2,9,4,2,6,6,88,3,9,3,4,9,6,8,3,9,5,1,4,8,9,7,7,7,1,5,77,0,7,7,0,1,0,5,5,1,2,9,6,99,2,3,77,9,1,7,3,4,1,9,3,3,7,2,2,6,7,2,1,6,9,3,3,7,2,5,5,2,4,7,7,2,1,5,9,5,2,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,8,NA,NA,9,400030,"GB","30-01-2025 01:08:19","30-01-2025 01:08:19","30-01-2025 03:34:07"
9,1,9,2,5,2,5,7,88,0,4,6432,5,1094,7,99,88,4,4,1,3,7,8,10,4,5,10,6,4,7,1,8,8,7,7,1,9,8,1,9,2,4,3,77,1,2,6,5,3,9,5,3,2,4,4,4,2,3,2,99,6,99,1,0,5,9,8,4,7,5,4,7,6,10,3,2,7,0,0,1,1,0,0,1,0,1,1,0,0,0,0,7,2,8888,8,8,2,88,77,88,95,4,8,2901,7,8,9,2,6,1,8,7,77,66,99,99,99,88,66,99,8888,9999,9999,7777,6666,9999,9999,7777,77,5,2,2,6,4,66,4,5,6,9,6,7,2,4,0,1,1,0,1,0,0,0,1,0,0,0,2,8,6,8888,8,88888,3,9,9,99999,8,99,777,999,6,1,7,7,2,9,8,9,88,4,0,1,1,0,0,1,1,0,0,0,1,0,0,99,9,3,888,2,3,7,2,9,9,3,9,9,4,1,4,7,8,3,3,3,9,4,7,3,2,3,3,4,7,6,8,8,0,5,2,2,0,4,9,8,1,2,7,77,99,6,0,7,7,5,10,1,5,7,1,493,3,2,7,3,9,2,1,7,3,9,1,1,1,9,7,6,3,4,3,5,5,8,1,2,5,2,6,1,3,4,2,3,1,6,6,2,3,4,6,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,4,NA,NA,2,400031,"GB","12-02-2025 07:53:42","12-02-2025 07:53:42","12-02-2025 10:48:14"
6,6,9,1,2,7,5,8,3,66,2,6783,3,1661,3,7,99,9,7,7,1,7,3,6,10,77,8,99,5,9,7,7,2,1,1,8,1,7,9,3,9,88,8,7,1,88,4,1,2,5,2,3,3,2,8,4,7,7,3,77,6,3,5,5,5,8,3,3,8,9,4,9,8,88,1,3,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,9,8888,1,8,2,2,88,51,15,6,165,4286,7,8,1,2,2,8,1,8,66,66,99,88,77,88,88,77,9999,6666,6666,9999,9999,6666,8888,7777,88,99,4,77,6,4,3,6,4,8,2,66,2,4,42,0,0,0,0,1,0,1,1,0,0,0,1,99,1,6,7777,9,77777,7,1,6,77777,66,88,999,999,88,2,2,7,9,8,88,9,1,4,0,1,1,1,1,1,0,1,1,0,0,0,1,3,9,2,666,7,8,7,8,2,9,1,7,3,4,8,9,9,9,8,2,5,8,6,5,6,10,77,6,2,3,4,5,4,5,7,6,6,3,5,3,2,9,3,6,7,88,88,7,88,3,0,2,3,7,7,8,742,7,7,8,3,2,9,9,8,4,1,7,9,2,7,8,2,3,3,6,6,6,3,1,6,1,1,5,7,5,4,3,3,2,1,4,1,3,5,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,8,14020819200,NA,2,400032,"GB","08-02-2025 20:41:21","08-02-2025 20:41:21","08-02-2025 21:59:01"
9,2,9,8,9,7,2,3,2,88,1,4851,3,8149,2,6,0,4,8,8,3,1,3,77,3,6,5,5,9,2,2,9,1,2,9,1,7,7,8,1,88,3,88,4,7,3,6,2,9,4,7,6,2,4,9,4,4,2,1,9,1,8,5,4,2,8,2,5,8,1,4,2,7,3,1,88,8,1,1,1,1,0,1,1,0,1,0,0,0,1,0,8,1,8888,8,1,1,99,77,33,88,2,211,8619,7,1,8,9,9,9,1,8,99,77,88,66,99,99,77,66,9999,7777,6666,6666,7777,9999,7777,8888,66,1,2,3,88,6,77,3,66,6,2,4,1,7,46,1,0,1,0,1,0,0,1,0,0,0,1,88,1,6,6666,2,66666,2,6,6,99999,66,5,999,777,99,8,8,9,7,3,5,3,3,2,0,0,1,1,0,0,1,1,0,0,0,0,0,3,7,7,777,8,7,1,88,7,9,3,9,1,4,3,7,9,8,2,4,8,8,2,1,9,7,99,0,4,6,2,0,6,1,1,5,9,9,2,3,2,8,4,6,1,4,6,9,9,5,1,5,9,4,2,2,408,5,3,9,99,3,3,3,4,2,3,8,9,8,3,2,9,9,7,2,2,6,9,2,3,1,4,7,4,9,4,7,5,3,3,8,2,3,3,2,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,4,NA,NA,4,400033,"NL","10-02-2025 18:55:49","10-02-2025 18:55:49","10-02-2025 19:38:10"
1,1,1,4,4,4,1,6,77,66,7,4439,1,4234,6,4,3,2,8,1,8,3,3,5,2,88,5,4,7,9,7,1,9,9,2,8,2,8,9,7,0,5,8,1,3,99,7,1,4,5,2,7,8,4,9,7,3,3,99,5,5,2,2,0,3,9,8,3,8,88,99,1,8,2,1,6,7,1,1,1,0,1,0,0,0,0,1,0,0,1,0,2,8,8888,1,9,1,65,77,79,66,9,181,6090,7,8,2,1,2,8,1,9,99,99,66,88,66,99,88,88,9999,7777,8888,7777,7777,9999,7777,6666,77,77,77,3,99,6,2,99,88,2,9,88,2,2,5,0,1,1,0,1,1,1,1,0,0,0,0,77,7,6,8888,6,88888,2,2,6,66666,66,77,999,888,77,1,8,1,1,2,99,3,77,4,0,0,0,0,1,0,0,0,0,0,1,0,0,7,7,9,999,8,66,2,99,8,9,9,7,3,9,2,4,2,7,1,8,3,4,7,5,8,2,99,7,0,1,1,9,4,2,9,4,5,0,2,1,9,8,4,2,77,1,99,10,2,2,77,8,3,2,5,1,597,7,4,3,88,0,9,9,9,8,2,7,1,4,3,8,1,5,5,1,2,5,5,3,3,3,5,1,1,8,1,4,8,1,1,8,5,1,5,2,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,4,NA,124,3,400034,"GB","23-02-2025 08:03:04","23-02-2025 08:03:04","23-02-2025 09:15:35"
9,1,9,8,2,4,7,5,5,99,8,7867,8,5612,5,88,77,4,3,3,5,8,10,3,2,4,8,4,1,1,7,1,2,7,1,9,9,9,2,7,1,88,1,77,10,3,3,1,8,8,2,5,5,7,4,9,1,4,99,8,4,99,88,88,4,1,3,4,1,3,88,2,6,4,2,88,2,1,0,1,1,0,0,1,0,1,1,0,0,1,0,8,9,9999,1,7,9,65,88,97,71,3,92,6571,7,2,6,7,9,2,8,7,99,88,99,66,77,66,66,77,6666,9999,9999,7777,9999,6666,8888,7777,66,77,66,2,66,3,5,88,99,2,2,88,7,9,22,0,0,0,1,0,1,1,0,1,0,0,1,6,8,7,9999,1,88888,8,1,1,66666,88,1,888,888,1,7,2,8,7,3,88,1,10,8,1,0,0,1,0,0,0,0,0,0,1,0,1,99,2,6,666,1,5,7,9,9,4,7,8,1,1,8,9,4,7,8,1,2,9,5,3,0,7,88,1,1,2,1,1,4,8,4,2,1,7,7,9,4,7,4,7,4,88,3,6,7,2,88,6,7,9,8,4,970,5,7,7,77,88,2,4,7,3,9,9,4,8,4,9,9,4,2,3,4,4,1,2,6,4,3,1,5,9,1,3,2,3,1,5,4,4,5,9,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,6,NA,NA,2,400035,"NL","15-02-2025 02:04:42","15-02-2025 02:04:42","15-02-2025 03:40:18"
9,9,6,8,9,1,8,6,5,3,2,8508,5,6961,6,0,8,2,7,9,8,9,10,77,7,0,88,3,88,3,7,7,7,8,8,8,2,1,7,6,9,10,88,0,8,0,2,8,1,2,3,6,3,7,2,2,2,1,0,4,99,8,88,3,7,1,7,4,8,6,5,2,8,1,1,99,2,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,8,8888,8,1,2,77,1,52,1,2,139,6045,6,1,1,1,8,2,8,8,88,99,99,77,66,66,88,77,8888,6666,6666,6666,7777,9999,8888,8888,99,99,77,1,99,88,3,4,1,7,1,5,1,1,81,0,1,0,0,0,1,0,0,1,0,0,0,4,9,9,8888,3,66666,8,8,9,99999,3,9,555,666,66,6,1,6,9,9,3,2,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,6,777,9,7,4,88,7,9,8,2,8,4,1,3,2,2,7,1,2,7,1,2,4,1,3,7,3,0,5,9,3,0,9,8,0,1,4,8,9,8,5,2,99,8,10,2,88,0,8,1,4,5,2,1,168,7,0,8,3,99,2,2,1,8,1,8,1,9,8,7,2,6,5,3,2,5,3,7,1,1,5,6,5,2,8,3,6,1,3,6,4,4,6,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,9,NA,NA,4,400036,"NL","24-02-2025 02:19:59","24-02-2025 02:19:59","24-02-2025 04:42:29"
1,6,9,5,2,8,5,9,4,99,8,3477,9,8261,4,3,8,4,3,2,3,8,0,5,88,9,99,3,10,9,8,7,8,2,7,7,1,2,2,9,5,6,4,10,6,5,8,5,4,7,2,8,7,1,7,8,9,8,2,3,88,88,2,0,7,1,7,4,7,6,2,1,7,7,5,4,9,1,1,1,1,0,1,0,0,0,1,0,0,0,0,9,1,9999,8,8,8,55,1,52,13,6,157,7767,2,6,8,1,9,7,7,8,88,88,99,88,99,88,77,77,9999,7777,8888,6666,8888,8888,9999,7777,99,99,66,4,77,77,77,66,77,2,9,4,8,5,21,1,1,1,0,0,1,1,0,1,0,0,0,6,2,6,6666,1,77777,8,4,8,66666,7,5,666,777,6,8,7,9,9,8,3,2,7,9,0,1,0,1,0,1,1,0,1,0,1,0,1,66,6,8,777,8,2,2,4,8,2,3,8,7,9,3,9,9,3,9,7,1,1,4,5,3,8,0,4,0,5,9,9,8,7,8,9,4,6,2,9,8,7,9,1,6,8,77,10,99,88,2,0,8,5,1,3,618,8,2,3,77,88,3,7,1,4,4,2,2,2,7,7,7,5,3,7,6,3,5,6,2,6,8,3,5,1,3,2,3,2,1,6,5,9,6,6,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,NA,NA,9,400037,"GB","15-01-2025 22:58:17","15-01-2025 22:58:17","16-01-2025 00:55:29"
9,6,1,9,7,9,8,8,2,4,5,2615,3,152,1,5,9,8,9,2,4,4,5,7,3,77,10,10,4,8,7,7,2,1,7,2,7,1,2,2,7,77,1,0,2,99,3,1,1,4,5,0,7,8,7,4,8,2,3,8,4,6,4,99,3,8,2,2,9,99,77,2,1,9,6,7,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,9,9,8888,9,9,7,65,1,98,63,3,424,5737,8,2,6,1,8,2,2,7,66,66,88,99,88,88,99,77,7777,7777,7777,7777,7777,6666,8888,7777,4,3,4,88,1,2,6,88,88,1,7,3,9,4,17,0,1,0,1,1,0,1,0,0,0,0,1,66,1,2,9999,1,88888,2,1,7,88888,66,77,777,888,3,2,2,9,6,7,77,9,4,8,1,0,1,1,0,1,1,1,0,0,0,0,0,88,6,1,666,2,66,1,4,8,9,7,7,8,4,7,3,8,1,1,7,1,1,6,2,5,7,0,7,4,1,3,4,5,7,9,3,9,0,1,1,3,4,9,6,5,7,5,3,99,10,0,4,8,1,1,7,505,8,3,3,5,66,8,3,4,1,2,9,1,9,1,6,6,3,6,1,6,4,2,3,3,2,8,5,4,1,6,2,8,5,4,9,1,4,1,6,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,2,NA,NA,1,400038,"NL","05-02-2025 17:04:13","05-02-2025 17:04:13","05-02-2025 18:46:35"
2,6,1,3,8,3,4,3,5,4,4,8495,4,4079,1,10,0,1,1,8,9,5,5,77,99,5,99,6,2,3,1,2,8,2,1,9,7,7,2,2,2,88,9,0,8,88,0,5,3,1,1,7,1,8,9,1,4,7,2,99,2,10,77,5,8,8,7,8,7,0,5,7,7,88,88,2,9,0,0,0,1,1,1,1,0,0,1,0,0,0,1,2,1,8888,8,1,2,88,1,72,44,8,264,5040,2,7,2,7,9,6,6,7,66,99,77,88,99,99,99,88,9999,8888,6666,8888,7777,9999,9999,8888,1,5,88,6,88,88,1,6,1,1,1,4,2,8,91,1,1,1,1,0,0,1,1,0,0,0,0,9,8,9,7777,9,99999,2,1,1,99999,7,66,666,777,77,9,1,1,1,1,6,9,6,2,0,0,0,0,1,0,1,0,1,0,1,0,0,5,6,3,666,4,66,3,6,2,9,2,2,8,4,1,8,4,8,3,1,4,2,5,5,6,10,5,9,5,1,4,3,1,5,8,5,4,2,3,1,3,2,8,1,9,3,99,2,88,4,8,5,3,4,8,5,804,9,5,7,1,9,1,7,9,3,7,7,9,1,6,8,4,1,2,2,2,6,3,4,1,5,1,6,3,3,5,2,6,4,3,1,6,1,9,9,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,7,NA,NA,9,400039,"NL","12-02-2025 18:53:03","12-02-2025 18:53:03","12-02-2025 21:28:04"
